gender,age,sibsp,parch,fare,embarked,class,who,alone,survived
0,22,1,0,7.25,S,Third,man,FALSE,0
1,38,1,0,71.2833,C,First,woman,FALL,1
1,26,0,0,7.925,S,Third,woman,TRUE,1
1,35,1,0,53.1,S,First,woman,FALL,1
0,35,0,0,8.05,S,Third,man,TRUE,0
0,,0,0,8.4583,Q,Third,man,TRUE,0
0,54,0,0,51.8625,S,First,man,TRUE,0
0,2,3,1,21.075,S,Third,child,FALSE,0
1,27,0,2,11.1333,S,Third,woman,FALSE,1
1,14,1,0,30.0708,C,Second,child,FALSE,1
1,4,1,1,16.7,S,Third,child,FALSE,1
1,58,0,0,26.55,S,First,woman,TRUE,1
,20,0,0,8.05,S,Third,man,TRUE,0
0,39,1,5,31.275,S,Third,man,FALSE,0
1,14,0,0,7.8542,S,Third,child,TRUE,0
1,55,0,0,16,S,Second,woman,TRUE,1
0,2,4,1,29.125,Q,Third,child,FALSE,0
0,,0,0,13,S,Second,man,TRUE,1
1,31,1,0,18,S,Third,woman,FALSE,0
1,,0,0,7.225,C,Third,woman,TRUE,1
0,35,0,0,26,S,Second,man,TRUE,0
0,34,0,0,13,S,Second,man,TRUE,1
1,15,0,0,8.0292,Q,Third,child,TRUE,1
0,28,0,0,35.5,S,First,man,TRUE,1
1,8,3,1,21.075,S,,child,FALSE,0
1,38,1,5,31.3875,S,Third,woman,FALSE,1
0,,0,0,7.225,C,Third,man,TRUE,0
0,19,3,2,263,S,First,man,FALSE,0
1,,0,0,7.8792,Q,Third,woman,TRUE,1
0,,0,0,7.8958,S,Third,man,TRUE,0
0,40,0,0,27.7208,C,First,man,TRUE,0
1,,1,0,146.5208,C,First,woman,FALSE,1
1,,0,0,7.75,Q,Third,woman,TRUE,1
,66,0,0,10.5,S,Second,man,TRUE,0
0,28,1,0,82.1708,C,First,man,FALSE,0
0,42,1,0,52,S,First,man,FALSE,0
0,,0,0,7.2292,C,Third,man,TRUE,1
0,21,0,0,8.05,S,Third,man,TRUE,0
1,18,2,0,18,S,Third,woman,FALSE,0
1,14,1,0,11.2417,C,Third,child,FALSE,1
1,40,1,0,9.475,S,Third,woman,FALSE,0
1,27,1,0,21,S,Second,woman,FALSE,0
0,,0,0,7.8958,C,Third,man,TRUE,0
1,3,1,2,41.5792,C,Second,child,FALSE,1
1,19,0,0,7.8792,Q,Third,woman,TRUE,1
0,,0,0,8.05,S,Third,man,TRUE,0
0,,1,0,15.5,Q,Third,man,FALSE,0
1,,0,0,7.75,Q,Third,woman,TRUE,1
0,,2,0,21.6792,C,Third,man,FALSE,0
1,18,1,0,17.8,S,Third,woman,FALSE,0
0,7,4,1,39.6875,S,Third,child,FALSE,0
,21,0,0,7.8,S,Third,man,TRUE,0
1,49,1,0,76.7292,C,First,woman,FALSE,1
1,29,1,0,26,S,Second,woman,FALSE,1
0,65,0,1,61.9792,C,First,man,FALSE,0
,,0,0,35.5,S,First,man,TRUE,1
1,21,0,0,10.5,S,Second,woman,TRUE,1
0,28.5,0,0,7.2292,C,Third,man,TRUE,0
1,5,1,2,27.75,S,Second,child,FALSE,1
0,11,5,2,46.9,S,Third,child,FALSE,0
0,22,0,0,7.2292,C,Third,man,TRUE,0
1,38,0,0,80,,First,woman,TRUE,1
0,45,1,0,83.475,S,First,man,FALSE,0
0,4,3,2,27.9,S,Third,child,FALSE,0
0,,0,0,27.7208,C,First,man,TRUE,0
0,,1,1,15.2458,C,Third,man,FALSE,1
1,29,0,0,10.5,S,Second,woman,TRUE,1
0,19,0,0,8.1583,S,Third,man,TRUE,0
1,17,4,2,7.925,S,Third,woman,FALSE,1
0,26,2,0,8.6625,S,Third,man,FALSE,0
0,32,0,0,10.5,S,Second,man,TRUE,0
1,16,5,2,46.9,S,Third,woman,FALSE,0
0,21,0,0,73.5,S,Second,man,TRUE,0
0,26,1,0,14.4542,C,Third,man,FALSE,0
0,32,0,0,56.4958,S,Third,man,TRUE,1
